"filename", "language", "PHP", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\minus.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\plus.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\regle.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\reset-arrow.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\trash-alt.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\add-to-cart-confirmation.js", "JavaScript", 0, 0, 49, 0, 4, 12, 65
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\ajax.js", "JavaScript", 0, 0, 29, 0, 0, 3, 32
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\cart.js", "JavaScript", 0, 0, 84, 0, 29, 19, 132
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\checkout.js", "JavaScript", 0, 0, 394, 0, 14, 83, 491
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\drive-calendar.js", "JavaScript", 0, 0, 56, 0, 2, 10, 68
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\front.js", "JavaScript", 0, 0, 95, 0, 9, 11, 115
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\postcode-form.js", "JavaScript", 0, 0, 87, 0, 3, 14, 104
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\product-archive.js", "JavaScript", 0, 0, 78, 0, 0, 3, 81
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\product-filters.js", "JavaScript", 0, 0, 198, 0, 2, 30, 230
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\shipping-methods.js", "JavaScript", 0, 0, 32, 0, 0, 4, 36
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\shipping-zone.js", "JavaScript", 0, 0, 33, 0, 0, 6, 39
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\js\tonnage-calculator.js", "JavaScript", 0, 0, 58, 0, 2, 12, 72
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\config\enqueue.php", "PHP", 55, 0, 0, 0, 13, 20, 88
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\functions.php", "PHP", 45, 0, 0, 0, 2, 11, 58
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-big-bag-manager.php", "PHP", 52, 0, 0, 0, 23, 21, 96
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-dynamic-pricing.php", "PHP", 158, 0, 0, 0, 123, 54, 335
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-order-processing.php", "PHP", 55, 0, 0, 0, 36, 22, 113
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-palletization-manager.php", "PHP", 210, 0, 0, 0, 131, 61, 402
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-shipping-methods.php", "PHP", 208, 0, 0, 0, 89, 57, 354
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-shipping-zone.php", "PHP", 216, 0, 0, 0, 117, 86, 419
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\class-singleton-trait.php", "PHP", 17, 0, 0, 0, 8, 6, 31
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\includes\marketing-ops-functions.php", "PHP", 37, 0, 0, 0, 18, 13, 68
